# time (s) ,  q1,   q2  
1.9700e+02  3.4301e+03  3.4301e+03 
1.9750e+02  3.3948e+03  3.3948e+03 
1.9800e+02  3.3599e+03  3.3599e+03 
1.9850e+02  3.3254e+03  3.3254e+03 
1.9900e+02  3.2912e+03  3.2912e+03 
1.9950e+02  3.2573e+03  3.2573e+03 
2.0000e+02  3.2238e+03  3.2238e+03 
2.0050e+02  3.1907e+03  3.1907e+03 
2.0100e+02  3.1578e+03  3.1578e+03 
2.0150e+02  3.1254e+03  3.1254e+03 
2.0200e+02  3.0932e+03  3.0932e+03 
2.0250e+02  3.0614e+03  3.0614e+03 
2.0300e+02  3.0299e+03  3.0299e+03 
2.0350e+02  2.9988e+03  2.9988e+03 
2.0400e+02  2.9679e+03  2.9679e+03 
2.0450e+02  2.9374e+03  2.9374e+03 
2.0500e+02  2.9072e+03  2.9072e+03 
2.0550e+02  2.8773e+03  2.8773e+03 
2.0600e+02  2.8477e+03  2.8477e+03 
2.0650e+02  2.8184e+03  2.8184e+03 
2.0700e+02  2.7894e+03  2.7894e+03 
2.0750e+02  2.7607e+03  2.7607e+03 
2.0800e+02  2.7323e+03  2.7323e+03 
2.0850e+02  2.7042e+03  2.7042e+03 
2.0900e+02  2.6764e+03  2.6764e+03 
2.0950e+02  2.6489e+03  2.6489e+03 
2.1000e+02  2.6216e+03  2.6216e+03 
2.1050e+02  2.5947e+03  2.5947e+03 
2.1100e+02  2.5680e+03  2.5680e+03 
2.1150e+02  2.5416e+03  2.5416e+03 
2.1200e+02  2.5154e+03  2.5154e+03 
2.1250e+02  2.4896e+03  2.4896e+03 
2.1300e+02  2.4640e+03  2.4640e+03 
2.1350e+02  2.4386e+03  2.4386e+03 
2.1400e+02  2.4135e+03  2.4135e+03 
2.1450e+02  2.3887e+03  2.3887e+03 
2.1500e+02  2.3641e+03  2.3641e+03 
2.1550e+02  2.3398e+03  2.3398e+03 
2.1600e+02  2.3158e+03  2.3158e+03 
2.1650e+02  2.2919e+03  2.2919e+03 
2.1700e+02  2.2684e+03  2.2684e+03 
2.1750e+02  2.2450e+03  2.2450e+03 
2.1800e+02  2.2219e+03  2.2219e+03 
2.1850e+02  2.1991e+03  2.1991e+03 
2.1900e+02  2.1765e+03  2.1765e+03 
2.1950e+02  2.1541e+03  2.1541e+03 
2.2000e+02  2.1319e+03  2.1319e+03 
2.2050e+02  2.1100e+03  2.1100e+03 
2.2100e+02  2.0883e+03  2.0883e+03 
2.2150e+02  2.0668e+03  2.0668e+03 
2.2200e+02  2.0456e+03  2.0456e+03 
2.2250e+02  2.0245e+03  2.0245e+03 
2.2300e+02  2.0037e+03  2.0037e+03 
2.2350e+02  1.9831e+03  1.9831e+03 
2.2400e+02  1.9627e+03  1.9627e+03 
2.2450e+02  1.9425e+03  1.9425e+03 
2.2500e+02  1.9225e+03  1.9225e+03 
2.2550e+02  1.9028e+03  1.9028e+03 
2.2600e+02  1.8832e+03  1.8832e+03 
2.2650e+02  1.8638e+03  1.8638e+03 
2.2700e+02  1.8447e+03  1.8447e+03 
2.2750e+02  1.8257e+03  1.8257e+03 
2.2800e+02  1.8069e+03  1.8069e+03 
2.2850e+02  1.7883e+03  1.7883e+03 
2.2900e+02  1.7699e+03  1.7699e+03 
2.2950e+02  1.7517e+03  1.7517e+03 
2.3000e+02  1.7337e+03  1.7337e+03 
2.3050e+02  1.7159e+03  1.7159e+03 
2.3100e+02  1.6982e+03  1.6982e+03 
2.3150e+02  1.6808e+03  1.6808e+03 
2.3200e+02  1.6635e+03  1.6635e+03 
2.3250e+02  1.6464e+03  1.6464e+03 
2.3300e+02  1.6294e+03  1.6294e+03 
2.3350e+02  1.6127e+03  1.6127e+03 
2.3400e+02  1.5961e+03  1.5961e+03 
2.3450e+02  1.5797e+03  1.5797e+03 
2.3500e+02  1.5634e+03  1.5634e+03 
2.3550e+02  1.5473e+03  1.5473e+03 
2.3600e+02  1.5314e+03  1.5314e+03 
2.3650e+02  1.5157e+03  1.5157e+03 
2.3700e+02  1.5001e+03  1.5001e+03 
2.3750e+02  1.4847e+03  1.4847e+03 
2.3800e+02  1.4694e+03  1.4694e+03 
2.3850e+02  1.4543e+03  1.4543e+03 
2.3900e+02  1.4393e+03  1.4393e+03 
2.3950e+02  1.4245e+03  1.4245e+03 
2.4000e+02  1.4099e+03  1.4099e+03 
2.4050e+02  1.3954e+03  1.3954e+03 
2.4100e+02  1.3810e+03  1.3810e+03 
2.4150e+02  1.3668e+03  1.3668e+03 
2.4200e+02  1.3528e+03  1.3528e+03 
2.4250e+02  1.3388e+03  1.3388e+03 
2.4300e+02  1.3251e+03  1.3251e+03 
2.4350e+02  1.3114e+03  1.3114e+03 
2.4400e+02  1.2980e+03  1.2980e+03 
2.4450e+02  1.2846e+03  1.2846e+03 
2.4500e+02  1.2714e+03  1.2714e+03 
2.4550e+02  1.2583e+03  1.2583e+03 
2.4600e+02  1.2454e+03  1.2454e+03 
2.4650e+02  1.2326e+03  1.2326e+03 
2.4700e+02  1.2199e+03  1.2199e+03 
2.4750e+02  1.2073e+03  1.2073e+03 
2.4800e+02  1.1949e+03  1.1949e+03 
2.4850e+02  1.1826e+03  1.1826e+03 
2.4900e+02  1.1705e+03  1.1705e+03 
2.4950e+02  1.1584e+03  1.1584e+03 
2.5000e+02  1.1465e+03  1.1465e+03 
2.5050e+02  1.1347e+03  1.1347e+03 
2.5100e+02  1.1231e+03  1.1231e+03 
2.5150e+02  1.1115e+03  1.1115e+03 
2.5200e+02  1.1001e+03  1.1001e+03 
2.5250e+02  1.0888e+03  1.0888e+03 
2.5300e+02  1.0776e+03  1.0776e+03 
2.5350e+02  1.0665e+03  1.0665e+03 
2.5400e+02  1.0555e+03  1.0555e+03 
2.5450e+02  1.0447e+03  1.0447e+03 
2.5500e+02  1.0339e+03  1.0339e+03 
2.5550e+02  1.0233e+03  1.0233e+03 
2.5600e+02  1.0128e+03  1.0128e+03 
2.5650e+02  1.0023e+03  1.0023e+03 
2.5700e+02  9.9203e+02  9.9203e+02 
2.5750e+02  9.8182e+02  9.8182e+02 
2.5800e+02  9.7173e+02  9.7173e+02 
2.5850e+02  9.6173e+02  9.6173e+02 
2.5900e+02  9.5184e+02  9.5184e+02 
2.5950e+02  9.4205e+02  9.4205e+02 
2.6000e+02  9.3236e+02  9.3236e+02 
2.6050e+02  9.2277e+02  9.2277e+02 
2.6100e+02  9.1328e+02  9.1328e+02 
2.6150e+02  9.0389e+02  9.0389e+02 
